DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Austria,2015,5.5,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Austria,2016,5.8,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Austria,2017,5.5,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Austria,2018,4.7,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Austria,2019,4.5,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Austria,2020,5.6,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Austria,2021,5.8,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Austria,2022,4.3,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Austria,2023,4.6,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Austria,2024,4.8,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Bosnia and Herzegovina,2021,16.1,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Bosnia and Herzegovina,2022,14.4,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Bosnia and Herzegovina,2023,12.6,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Bosnia and Herzegovina,2024,12.2,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Belgium,2015,7.8,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Belgium,2016,7.2,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Belgium,2017,6.3,b,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Belgium,2018,5.4,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Belgium,2019,4.8,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Belgium,2020,5.2,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Belgium,2021,5.5,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Belgium,2022,4.9,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Belgium,2023,4.9,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Belgium,2024,5.0,,
ESTAT:UNE_RT_A(1.0),21/01/26 23:00:00,Annual,From 25 to 54 years,Percentage of population in the labour force,Total,Bulgaria,2015,9.4,,
